Caso 1: N=550307962409600896, O=449999999999999999
Caso 2: N=223890444073391744, O=223889999999999999
Caso 3: N=906879163681172224, O=899999999999999999
Caso 4: N=418485941376890752, O=399999999999999999
Caso 5: N=505996747892819008, O=499999999999999999
Caso 6: N=433786059650169280, O=399999999999999999
Caso 7: N=543628478559401024, O=499999999999999999
Caso 8: N=47323251662104496, O=46999999999999999
Caso 9: N=921820024517527424, O=899999999999999999
Caso 10: N=438055618253724992, O=399999999999999999
Caso 11: N=447151342153586432, O=446999999999999999
Caso 12: N=117922511524594544, O=117899999999999999
Caso 13: N=143455639841119200, O=139999999999999999
Caso 14: N=591173761127777920, O=589999999999999999
Caso 15: N=49672189716780224, O=48999999999999999
Caso 16: N=614772234447677184, O=599999999999999999
Caso 17: N=346899212400304064, O=346888999999999999
Caso 18: N=995505456188876160, O=889999999999999999
Caso 19: N=784067462811102976, O=779999999999999999
Caso 20: N=929895909873591552, O=899999999999999999
Caso 21: N=130615799584347328, O=129999999999999999
Caso 22: N=523328529735300672, O=499999999999999999
Caso 23: N=211687207475821152, O=199999999999999999
Caso 24: N=444901274253436928, O=444899999999999999
Caso 25: N=114372260108373200, O=113999999999999999
Caso 26: N=642358512460732160, O=599999999999999999
Caso 27: N=483227401422587136, O=479999999999999999
Caso 28: N=693219250640774912, O=689999999999999999
Caso 29: N=743633113105675008, O=699999999999999999
Caso 30: N=68121257596010840, O=67999999999999999
Caso 31: N=349602452761690432, O=348999999999999999
Caso 32: N=272851323126343200, O=269999999999999999
Caso 33: N=198598154706586720, O=189999999999999999
Caso 34: N=287027581035378720, O=279999999999999999
Caso 35: N=593087725278478720, O=589999999999999999
Caso 36: N=778576481616324096, O=777999999999999999
Caso 37: N=163405954617095616, O=159999999999999999
Caso 38: N=420761091981314304, O=399999999999999999
Caso 39: N=58572008082796608, O=57999999999999999
Caso 40: N=27452266582118636, O=26999999999999999
Caso 41: N=223721593095091104, O=223699999999999999
Caso 42: N=735598855231489408, O=699999999999999999
Caso 43: N=430580529121824320, O=399999999999999999
Caso 44: N=762576657083708416, O=699999999999999999
Caso 45: N=829873695764120448, O=799999999999999999
Caso 46: N=339542034436282176, O=338999999999999999
Caso 47: N=523799131078226944, O=499999999999999999
Caso 48: N=837460947876092800, O=799999999999999999
Caso 49: N=87899555881079120, O=79999999999999999
Caso 50: N=255641386667388352, O=255599999999999999
Caso 51: N=133150597849999504, O=122999999999999999
Caso 52: N=606995998365490176, O=599999999999999999
Caso 53: N=122304114769622880, O=122299999999999999
Caso 54: N=111660561469000944, O=111559999999999999
Caso 55: N=424044527201427904, O=399999999999999999
Caso 56: N=880877661972456320, O=779999999999999999
Caso 57: N=392032304238971840, O=389999999999999999
Caso 58: N=144227901858204896, O=133999999999999999
Caso 59: N=434242411472263936, O=399999999999999999
Caso 60: N=331489300786569664, O=229999999999999999
Caso 61: N=135100789799619152, O=134999999999999999
Caso 62: N=79884954808773776, O=78999999999999999
Caso 63: N=505849817742629248, O=499999999999999999
Caso 64: N=690622799075504000, O=689999999999999999
Caso 65: N=67529900805625816, O=66999999999999999
Caso 66: N=725948247476086784, O=699999999999999999
Caso 67: N=369268004894098496, O=368999999999999999
Caso 68: N=418051817438128576, O=399999999999999999
Caso 69: N=568661653966034304, O=567999999999999999
Caso 70: N=780858165451747712, O=779999999999999999
Caso 71: N=160507619954961088, O=159999999999999999
Caso 72: N=779854203724641408, O=778999999999999999
Caso 73: N=847645776614965376, O=799999999999999999
Caso 74: N=456696888023339072, O=456689999999999999
Caso 75: N=869087130958241024, O=799999999999999999
Caso 76: N=435512783653141056, O=399999999999999999
Caso 77: N=4820250734656306, O=4799999999999999
Caso 78: N=995815190071644544, O=889999999999999999
Caso 79: N=585809570367533952, O=579999999999999999
Caso 80: N=700207264592859136, O=699999999999999999
Caso 81: N=476908452569215296, O=469999999999999999
Caso 82: N=59015451259971648, O=58999999999999999
Caso 83: N=448030776566275968, O=447999999999999999
Caso 84: N=622342107457481216, O=599999999999999999
Caso 85: N=86400680888813584, O=79999999999999999
Caso 86: N=264496210319464128, O=259999999999999999
Caso 87: N=364603223762693632, O=359999999999999999
Caso 88: N=896238457452642688, O=889999999999999999
Caso 89: N=803182393558752384, O=799999999999999999
Caso 90: N=864771722783783552, O=799999999999999999
Caso 91: N=443499443057790080, O=339999999999999999
Caso 92: N=416051069532530880, O=399999999999999999
Caso 93: N=370417489244336064, O=369999999999999999
Caso 94: N=663036764162479232, O=559999999999999999
Caso 95: N=542189479275685504, O=499999999999999999
Caso 96: N=969353603940382336, O=899999999999999999
Caso 97: N=146889856236388512, O=146888999999999999
